rhythmic,apathetic,poetic,eclectic,urban,anthemic,humorous,heavy,minimalistic,futuristic,melodic/bittersweet/sentimental/romantic,spiritual/atmospheric/surreal/dense/mysterious,progressive/dense/epic,energetic/raw/rebellious/noisy/angry-warm/calm/natural/acoustic/pastoral,cold/dark/sad/atmospheric/anxious/mysterious/serious-quirky/happy
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8095238095238094,0.40740740740740744,0.0,0.2153846153846154,0.7777777777777777
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5238095238095237,0.0,0.0,-0.6923076923076923,-0.40740740740740744
1.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.40740740740740744,0.4285714285714285,-0.6923076923076923,-0.5185185185185185
0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.5,1.0,0.0,0.0,0.4285714285714285,0.0,0.0,-0.7435897435897436,-0.48148148148148145
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4285714285714285,0.48148148148148145,0.4285714285714285,0.39999999999999997,-0.7037037037037037
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.4285714285714285,0.6296296296296295,0.4285714285714285,0.0,-0.5555555555555555
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4285714285714285,0.5555555555555555,0.4285714285714285,-0.4871794871794872,-0.5555555555555555
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5238095238095237,0.48148148148148145,0.4285714285714285,-0.3846153846153846,-0.48148148148148145
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4285714285714285,0.40740740740740744,0.5238095238095237,-0.4871794871794872,-0.4444444444444444
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.6190476190476191,0.0,0.4285714285714285,-0.3846153846153846,0.03703703703703698
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5238095238095237,0.0,0.4285714285714285,-0.3846153846153846,-0.4444444444444444
0.0,0.0,1.0,0.0,0.0,0.0,0.8333333333333333,0.0,0.0,0.0,0.7142857142857142,0.0,0.0,-0.035897435897435936,0.18518518518518512
0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.6190476190476191,0.0,0.0,-0.035897435897435936,-0.37037037037037035
1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8095238095238094,0.40740740740740744,0.4285714285714285,-0.4358974358974359,-0.5925925925925926
